X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,Machining_Process,tool_condition
146.0,-6.03,-18.8,146.0,-5.97,0.731,-4.75,0.0939,326.0,14.3,0.00122,73.0,0.5,-18.8,73.0,0.595,7.52,3.38,0.0394,325.0,5.11,2.04e-05,29.5,0.0,0.0,29.5,0.0,0.0,-313.0,53.3,-12.4,-313.0,53.3,0.0,25.0,0.884,322.0,122.0,0.167,1,0
145.0,-5.82,6.25,145.0,-5.86,1.63,-5.25,0.0894,326.0,13.5,0.00107,73.1,1.4,43.8,73.1,1.31,7.38,3.09,0.0682,325.0,6.47,0.000196,29.5,0.0,0.0,29.5,0.0,0.0,-308.0,53.2,-19.7,-308.0,53.3,0.0,23.2,1.04,320.0,118.0,0.201,1,0
145.0,-5.82,-68.7,145.0,-5.64,2.55,-3.16,0.0814,326.0,13.1,0.00102,73.3,1.92,6.25,73.3,2.04,7.12,7.05,0.129,324.0,10.8,0.000516,29.5,0.0,0.0,29.5,0.0,0.0,-303.0,53.3,-17.3,-303.0,53.3,9.54e-07,23.1,0.876,319.0,117.0,0.168,1,0
144.0,-5.2,50.0,144.0,-5.33,3.46,-4.73,0.0836,326.0,14.5,0.000854,73.5,2.65,6.25,73.5,2.76,6.72,4.96,0.0862,325.0,9.64,0.00049,29.5,0.0,0.0,29.5,0.0,0.0,-297.0,53.2,-71.4,-297.0,53.3,9.54e-07,24.3,0.923,321.0,121.0,0.176,1,0
144.0,-5.07,6.25,144.0,-4.96,4.24,-4.78,0.0729,326.0,10.7,0.000777,73.8,3.1,12.5,73.8,3.38,6.26,4.35,0.0704,325.0,9.82,0.000428,29.5,0.0,0.0,29.5,0.0,0.0,-292.0,53.3,-4.0,-292.0,53.3,0.0,25.0,0.91,321.0,120.0,0.175,1,0
143.0,-4.47,-12.5,143.0,-4.49,4.99,-6.44,0.109,326.0,11.3,0.000986,74.2,3.95,18.8,74.2,3.98,5.67,5.97,0.0993,324.0,11.3,0.000847,29.5,0.0,0.0,29.5,0.0,0.0,-287.0,53.3,-0.937,-287.0,53.3,0.0,21.2,1.02,319.0,115.0,0.198,1,0
143.0,-4.05,6.25,143.0,-3.94,5.69,-4.21,0.0801,326.0,11.3,0.00067,74.6,4.63,-37.5,74.6,4.53,4.97,1.96,0.0815,325.0,15.0,0.000773,29.5,0.0,0.0,29.5,0.0,0.0,-281.0,53.2,-72.7,-281.0,53.3,0.0,26.3,1.03,321.0,120.0,0.196,1,0
142.0,-3.2,50.0,142.0,-3.36,6.25,-4.98,0.0847,326.0,10.5,0.000558,75.1,4.6,-62.5,75.1,4.97,4.25,4.74,0.0771,324.0,12.4,0.000751,29.5,0.0,0.0,29.5,0.0,0.0,-276.0,53.2,-63.9,-276.0,53.3,9.54e-07,23.7,1.04,321.0,118.0,0.2,1,0
142.0,-2.7,-18.8,142.0,-2.71,6.74,-3.38,0.0743,326.0,9.91,0.000463,75.6,5.18,-75.0,75.6,5.35,3.43,4.39,0.0806,324.0,15.0,0.000862,29.5,0.0,0.0,29.5,0.0,0.0,-271.0,53.4,27.9,-271.0,53.3,-9.54e-07,20.4,0.854,320.0,118.0,0.164,1,0
142.0,-2.03,43.8,142.0,-1.99,7.13,-5.54,0.0892,326.0,9.21,0.000354,76.2,5.78,-6.25,76.2,5.66,2.52,6.22,0.114,324.0,14.1,0.00146,29.5,0.0,0.0,29.5,0.0,0.0,-265.0,53.4,5.25,-265.0,53.3,-9.54e-07,18.9,0.835,321.0,120.0,0.161,1,0
142.0,-1.45,-68.7,142.0,-1.29,7.38,-3.81,0.0727,326.0,5.95,0.000174,76.7,5.72,31.3,76.8,5.86,1.64,7.9,0.128,324.0,15.0,0.00152,29.5,0.0,0.0,29.5,0.0,0.0,-260.0,53.1,-63.0,-260.0,53.3,0.0,27.3,1.23,320.0,117.0,0.235,1,0
141.0,-0.8,-106.0,141.0,-0.542,7.53,-1.65,0.078,326.0,6.14,4.9e-05,77.3,5.8,25.0,77.3,5.98,0.702,6.48,0.104,324.0,13.8,0.00125,29.5,0.0,0.0,29.5,0.0,0.0,-255.0,53.4,17.5,-255.0,53.3,0.0,22.5,0.904,320.0,117.0,0.175,1,0
141.0,0.125,62.5,141.0,0.0,0.0,-3.59,0.0653,326.0,7.62,-4.96e-05,77.8,1.7,394.0,77.8,6.0,125.0,15.6,0.238,325.0,14.0,0.00183,29.5,0.0,0.0,29.5,0.0,0.0,-249.0,53.3,-29.6,-249.0,53.3,0.0,21.0,0.893,321.0,120.0,0.172,1,0
142.0,6.07,-31.3,142.0,6.0,0.0,3.17,0.0552,326.0,12.2,0.000644,77.9,-0.025,18.8,77.9,0.0,0.0,0.182,0.0181,325.0,1.5,-3.8e-07,29.5,0.0,0.0,29.5,0.0,0.0,-244.0,53.3,-4.13,-244.0,53.3,9.54e-07,19.6,0.932,321.0,120.0,0.179,1,0
142.0,5.97,12.5,143.0,6.0,0.0,3.66,0.0875,326.0,14.6,0.0011,77.9,0.0,-6.25,77.9,0.0,0.0,-0.677,0.0233,324.0,3.42,0.0,29.5,0.0,0.0,29.5,0.0,0.0,-239.0,53.3,-11.3,-239.0,53.3,0.0,26.9,0.903,320.0,119.0,0.173,1,0
143.0,5.7,-75.0,143.0,6.0,0.0,6.68,0.099,326.0,13.7,0.00122,77.9,0.0,0.0,77.9,0.0,0.0,-0.229,0.0241,325.0,6.73,1.08e-06,29.5,0.0,0.0,29.5,0.0,0.0,-233.0,53.3,-7.44,-233.0,53.3,0.0,24.6,0.873,322.0,123.0,0.166,1,0
144.0,6.18,12.5,144.0,6.0,0.0,4.14,0.0765,326.0,12.7,0.000967,77.9,-0.05,-25.0,77.9,0.0,0.0,0.0386,0.0136,325.0,1.87,0.0,29.5,0.0,0.0,29.5,0.0,0.0,-228.0,53.3,-13.1,-228.0,53.3,0.0,23.2,1.03,321.0,117.0,0.197,1,0
144.0,6.1,56.3,144.0,6.0,0.0,6.74,0.0984,326.0,11.3,0.00128,77.9,-0.025,-18.8,77.9,0.0,0.0,-0.808,0.0216,324.0,0.558,-2.4e-06,29.5,0.0,0.0,29.5,0.0,0.0,-223.0,53.3,-19.1,-223.0,53.3,9.54e-07,23.3,0.894,320.0,117.0,0.172,1,0
144.0,1.2,-56.3,144.0,1.41,8.82,5.59,0.0959,326.0,9.75,0.000275,77.5,-5.85,-43.8,77.5,-5.83,2.11,-8.49,0.146,325.0,16.2,0.00179,29.5,0.0,0.0,29.5,0.0,0.0,-217.0,53.2,-63.2,-217.0,53.3,9.54e-07,22.7,0.904,321.0,122.0,0.173,1,0
145.0,2.05,6.25,145.0,2.24,8.43,9.78,0.117,326.0,3.33,0.000452,77.0,-5.25,106.0,76.9,-5.57,3.36,-5.27,0.0865,325.0,13.8,0.000927,29.5,0.0,0.0,29.5,0.0,0.0,-212.0,53.3,-0.375,-212.0,53.3,0.0,24.2,0.903,321.0,119.0,0.172,1,0
145.0,3.1,75.0,145.0,3.05,7.82,7.14,0.103,326.0,8.31,0.000652,76.4,-5.07,-12.5,76.4,-5.17,4.59,-5.8,0.109,324.0,14.9,0.00117,29.5,0.0,0.0,29.5,0.0,0.0,-207.0,53.3,-9.31,-207.0,53.3,0.0,22.2,1.02,321.0,115.0,0.197,1,0
145.0,3.92,18.8,145.0,3.82,7.01,4.83,0.0757,326.0,10.0,0.000558,75.9,-4.65,0.0,75.9,-4.62,5.76,-8.44,0.151,325.0,13.6,0.00156,29.5,0.0,0.0,29.5,0.0,0.0,-201.0,53.2,-72.7,-201.0,53.3,0.0,26.5,1.02,321.0,121.0,0.195,1,0
146.0,4.6,100.0,146.0,4.45,6.1,6.99,0.0881,326.0,8.66,0.000805,75.5,-4.07,-43.8,75.5,-4.02,6.71,-7.25,0.132,324.0,12.0,0.0011,29.5,0.0,0.0,29.5,0.0,0.0,-196.0,53.2,-61.0,-196.0,53.3,9.54e-07,23.5,1.04,321.0,117.0,0.199,1,0
146.0,4.9,-12.5,146.0,5.01,5.02,5.05,0.0889,326.0,12.7,0.000898,75.1,-3.3,43.8,75.1,-3.31,7.55,-3.18,0.0506,324.0,7.2,0.00028,29.5,0.0,0.0,29.5,0.0,0.0,-191.0,53.4,27.1,-191.0,53.3,-9.54e-07,20.4,0.845,320.0,118.0,0.162,1,0
147.0,5.28,-50.0,147.0,5.46,3.78,5.91,0.099,326.0,14.0,0.00106,74.8,-2.38,68.7,74.8,-2.48,8.25,-2.04,0.0431,325.0,9.01,0.000196,29.5,0.0,0.0,29.5,0.0,0.0,-185.0,53.3,-2.63,-185.0,53.3,-9.54e-07,18.7,0.848,320.0,120.0,0.163,1,0
147.0,5.75,43.8,147.0,5.76,2.54,6.11,0.101,326.0,13.0,0.00124,74.6,-1.7,-6.25,74.6,-1.66,8.71,-2.73,0.0726,324.0,7.4,0.000226,29.5,0.0,0.0,29.5,0.0,0.0,-180.0,53.1,-60.9,-180.0,53.3,0.0,27.8,1.2,321.0,116.0,0.229,1,0
148.0,6.05,18.8,148.0,5.95,1.2,4.21,0.0939,326.0,14.4,0.0012,74.5,-0.95,-43.8,74.5,-0.777,8.99,-3.08,0.0633,325.0,5.57,0.000119,29.5,0.0,0.0,29.5,0.0,0.0,-175.0,53.4,14.7,-175.0,53.3,0.0,21.2,0.885,321.0,118.0,0.171,1,0
148.0,3.4,1030.0,148.0,6.0,125.0,17.1,0.206,326.0,18.0,0.00142,74.5,0.075,37.5,74.5,0.0,0.0,-4.15,0.0812,325.0,8.09,1.29e-05,29.5,0.0,0.0,29.5,0.0,0.0,-169.0,53.3,-24.4,-169.0,53.3,0.0,20.5,0.879,321.0,120.0,0.17,1,0
149.0,6.05,6.25,149.0,6.0,0.0,4.7,0.0853,326.0,13.1,0.00107,74.5,-0.125,-62.5,74.5,0.0,0.0,-3.38,0.0682,325.0,3.11,1.05e-05,29.5,0.0,0.0,29.5,0.0,0.0,-164.0,53.3,18.2,-164.0,53.3,-9.54e-07,21.4,0.975,322.0,117.0,0.187,1,0
149.0,6.18,75.0,150.0,6.0,0.0,4.04,0.0809,326.0,13.4,0.00102,74.5,-0.125,-62.5,74.5,0.0,0.0,-3.21,0.0669,324.0,3.45,3.13e-05,29.5,0.0,0.0,29.5,0.0,0.0,-159.0,53.3,-13.9,-159.0,53.3,0.0,25.6,0.878,321.0,120.0,0.167,1,0
150.0,6.13,56.3,150.0,6.0,0.0,5.51,0.0932,326.0,13.7,0.00121,74.5,0.125,62.5,74.5,0.0,0.0,-3.66,0.0661,325.0,7.61,-2.05e-05,29.5,0.0,0.0,29.5,0.0,0.0,-153.0,53.3,-5.13,-153.0,53.3,0.0,25.2,0.863,322.0,122.0,0.163,1,0
151.0,5.88,-6.25,151.0,6.0,0.0,6.1,0.102,326.0,13.7,0.00122,74.5,-0.125,-68.7,74.5,0.0,0.0,-2.43,0.0664,324.0,4.16,0.0,29.5,0.0,0.0,29.5,0.0,0.0,-148.0,53.3,-10.2,-148.0,53.3,0.0,21.7,1.0,322.0,118.0,0.192,1,0
151.0,6.05,-31.3,151.0,6.0,0.0,3.84,0.0736,326.0,13.3,0.000863,74.5,-0.125,-62.5,74.5,0.0,0.0,-3.05,0.065,325.0,3.61,2.02e-05,29.5,0.0,0.0,29.5,0.0,0.0,-143.0,53.3,-16.1,-143.0,53.3,9.54e-07,21.5,0.872,321.0,119.0,0.168,1,0
152.0,5.93,-75.0,152.0,6.0,0.0,4.11,0.0726,326.0,14.0,0.000853,74.5,0.15,68.7,74.5,0.0,0.0,-3.99,0.0664,325.0,7.23,0.0,29.5,0.0,0.0,29.5,0.0,0.0,-137.0,53.2,-66.7,-137.0,53.3,9.54e-07,23.4,0.919,321.0,122.0,0.177,1,0
152.0,6.07,43.8,153.0,6.0,0.0,4.43,0.0853,326.0,12.8,0.00114,74.5,-0.15,-68.7,74.5,0.0,0.0,-3.06,0.0626,325.0,3.47,1.95e-05,29.5,0.0,0.0,29.5,0.0,0.0,-132.0,53.3,5.75,-132.0,53.3,0.0,23.8,0.889,322.0,119.0,0.169,1,0
153.0,5.93,-12.5,153.0,6.0,0.0,3.63,0.0903,324.0,15.7,0.00113,74.5,-0.125,-56.3,74.5,0.0,0.0,-3.22,0.0655,324.0,2.86,9.87e-06,29.5,0.0,0.0,29.5,0.0,0.0,-127.0,53.3,-8.94,-127.0,53.3,0.0,20.9,1.01,319.0,116.0,0.196,1,0
154.0,5.8,-62.5,154.0,6.0,0.0,5.0,0.0864,324.0,15.6,0.00108,74.5,0.15,68.7,74.5,0.0,0.0,-3.52,0.0653,323.0,6.94,-3.99e-05,29.5,0.0,0.0,29.5,0.0,0.0,-121.0,53.2,-69.0,-121.0,53.3,0.0,25.3,1.01,319.0,122.0,0.194,1,0
154.0,6.3,68.7,154.0,6.0,0.0,4.3,0.0889,325.0,12.8,0.00111,74.5,-0.15,-75.0,74.5,0.0,0.0,-2.89,0.0625,324.0,3.58,1.96e-05,29.5,0.0,0.0,29.5,0.0,0.0,-116.0,53.2,-66.0,-116.0,53.3,9.54e-07,24.2,1.03,321.0,118.0,0.198,1,0
155.0,6.15,93.7,155.0,6.0,0.0,5.12,0.101,326.0,13.4,0.00135,74.5,-0.1,-50.0,74.5,0.0,0.0,-3.08,0.0634,324.0,3.46,1.99e-05,29.5,0.0,0.0,29.5,0.0,0.0,-111.0,53.4,21.6,-111.0,53.3,-9.54e-07,19.7,0.845,321.0,118.0,0.162,1,0
155.0,5.57,-125.0,155.0,5.99,-0.345,8.1,0.164,326.0,15.7,0.00211,74.5,0.275,87.5,74.5,0.246,9.06,-2.47,0.0425,325.0,3.72,-1.75e-05,29.5,0.0,0.0,29.5,0.0,0.0,-105.0,53.3,2.69,-105.0,53.3,-9.54e-07,18.0,0.848,320.0,120.0,0.163,1,0
156.0,5.85,-12.5,156.0,5.9,-1.65,4.68,0.0976,326.0,15.0,0.00105,74.5,1.1,25.0,74.5,1.11,8.92,6.52,0.128,324.0,8.7,0.000286,29.5,0.0,0.0,29.5,0.0,0.0,-100.0,53.1,-60.3,-99.8,53.3,0.0,28.6,1.21,322.0,116.0,0.23,1,0
157.0,5.88,75.0,157.0,5.66,-2.98,2.51,0.0866,326.0,14.2,0.000987,74.7,2.05,31.3,74.7,1.99,8.57,5.85,0.0955,324.0,6.55,0.000428,29.5,0.0,0.0,29.5,0.0,0.0,-94.9,53.3,11.7,-94.5,53.3,0.0,25.1,0.902,321.0,114.0,0.173,1,0
157.0,5.13,-81.2,157.0,5.28,-4.28,13.5,0.105,326.0,5.99,0.00109,74.9,2.63,-43.8,74.9,2.85,8.0,3.53,0.0741,324.0,10.2,0.000424,29.5,0.0,0.0,29.5,0.0,0.0,-89.4,53.3,-21.8,-89.0,53.3,0.0,21.9,0.874,320.0,119.0,0.167,1,0
158.0,5.0,18.8,158.0,4.81,-5.39,4.14,0.0911,325.0,12.3,0.000864,75.2,3.65,-18.8,75.3,3.58,7.29,2.45,0.0861,324.0,12.7,0.000634,29.5,0.0,0.0,29.5,0.0,0.0,-84.3,53.3,18.8,-83.8,53.3,-9.54e-07,21.1,0.977,322.0,117.0,0.188,1,0
158.0,4.15,-25.0,158.0,4.22,-6.43,4.91,0.0834,326.0,12.0,0.000717,75.6,4.32,62.5,75.6,4.27,6.4,4.51,0.1,324.0,11.0,0.000918,29.5,0.0,0.0,29.5,0.0,0.0,-78.9,53.3,-15.0,-78.5,53.3,0.0,25.9,0.892,321.0,120.0,0.169,1,0
158.0,3.35,-50.0,159.0,3.5,-7.35,5.47,0.0848,326.0,10.5,0.00059,76.1,4.78,-18.8,76.1,4.87,5.31,7.09,0.119,324.0,13.8,0.00114,29.5,0.0,0.0,29.5,0.0,0.0,-73.4,53.3,-2.31,-73.0,53.3,0.0,23.6,0.859,320.0,123.0,0.163,1,0
159.0,2.8,68.7,159.0,2.76,-8.04,4.07,0.0791,325.0,9.42,0.000392,76.6,5.53,87.5,76.6,5.33,4.19,3.7,0.0974,324.0,13.3,0.00112,29.5,0.0,0.0,29.5,0.0,0.0,-68.3,53.3,-15.3,-67.8,53.3,0.0,22.7,1.01,322.0,118.0,0.194,1,0
159.0,2.15,50.0,159.0,1.92,-8.58,5.29,0.0995,325.0,7.46,0.000439,77.1,5.78,-43.8,77.2,5.68,2.93,9.44,0.0957,324.0,7.85,0.00114,29.5,0.0,0.0,29.5,0.0,0.0,-62.9,53.3,-13.4,-62.5,53.3,9.54e-07,21.3,0.864,321.0,118.0,0.166,1,0
159.0,0.85,-100.0,159.0,1.01,-8.94,4.5,0.0734,326.0,8.1,0.000122,77.7,6.25,6.25,77.8,5.91,1.55,5.81,0.1,324.0,12.7,0.00131,29.5,0.0,0.0,29.5,0.0,0.0,-57.4,53.2,-64.9,-57.0,53.3,9.54e-07,23.7,0.915,320.0,121.0,0.175,1,0
159.0,0.35,50.0,159.0,0.144,-9.07,4.51,0.0786,325.0,3.63,6.01e-05,78.3,6.0,43.8,78.3,6.0,0.246,9.32,0.155,324.0,15.1,0.00196,29.5,0.0,0.0,29.5,0.0,0.0,-52.3,53.3,10.0,-51.8,53.3,0.0,24.0,0.884,321.0,120.0,0.169,1,0
159.0,0.175,87.5,159.0,0.0,0.0,2.78,0.0456,325.0,1.43,0.0,78.8,5.72,-31.3,78.9,6.0,0.0,5.16,0.0874,324.0,14.4,0.00104,29.5,0.0,0.0,29.5,0.0,0.0,-46.9,53.3,-6.06,-46.5,53.3,0.0,22.2,1.02,321.0,115.0,0.196,1,0
159.0,-0.175,-81.2,159.0,0.0,0.0,3.9,0.0504,326.0,5.32,-1.51e-05,79.4,5.82,-81.2,79.5,6.0,0.0,4.62,0.0741,324.0,13.0,0.00083,29.5,0.0,0.0,29.5,0.0,0.0,-41.4,53.2,-67.8,-41.0,53.3,0.0,26.5,1.01,320.0,121.0,0.192,1,0
159.0,0.225,119.0,159.0,0.0,0.0,1.5,0.0467,326.0,2.39,5.83e-06,80.0,6.15,37.5,80.1,6.0,0.0,3.76,0.0801,324.0,12.7,0.00102,29.5,0.0,0.0,29.5,0.0,0.0,-36.3,53.2,-65.0,-35.8,53.3,9.54e-07,23.5,1.04,322.0,118.0,0.2,1,0
159.0,0.15,81.2,159.0,0.0,0.0,1.96,0.0469,325.0,2.24,1.41e-05,80.6,5.95,31.3,80.7,6.0,0.0,6.14,0.1,324.0,12.6,0.00126,29.5,0.0,0.0,29.5,0.0,0.0,-30.9,53.4,23.7,-30.5,53.3,-9.54e-07,21.2,0.858,321.0,117.0,0.164,1,0
159.0,-0.125,-62.5,159.0,0.0,0.0,2.75,0.0531,326.0,5.49,-7.4e-06,81.2,5.97,6.25,81.3,6.0,0.0,5.07,0.0921,324.0,13.9,0.00119,29.5,0.0,0.0,29.5,0.0,0.0,-25.4,53.3,2.75,-25.0,53.3,-9.54e-07,18.2,0.849,320.0,120.0,0.163,1,0
159.0,0.175,81.2,159.0,0.0,0.0,0.975,0.0428,326.0,3.35,6.01e-06,81.8,6.07,-37.5,81.9,6.0,0.0,4.76,0.0766,324.0,12.9,0.000907,29.5,0.0,0.0,29.5,0.0,0.0,-20.3,53.2,-55.0,-19.8,53.3,0.0,27.8,1.18,322.0,116.0,0.227,1,0
159.0,0.0,-12.5,159.0,0.0,0.0,1.64,0.0353,325.0,5.96,-1.5e-05,82.7,6.03,31.3,82.7,6.0,0.0,9.26,0.145,324.0,14.2,0.00182,29.5,0.0,0.0,29.5,0.0,0.0,-12.6,53.3,3.44,-12.2,53.3,0.0,21.2,0.823,322.0,120.0,0.157,1,0
159.0,0.05,25.0,159.0,0.0,0.0,1.09,0.0586,326.0,4.13,3.51e-05,83.3,5.82,12.5,83.3,6.0,0.0,7.88,0.125,324.0,14.4,0.00151,29.5,0.0,0.0,29.5,0.0,0.0,-7.47,53.3,-18.7,-7.04,53.3,9.54e-07,21.5,0.8,317.0,118.0,0.153,1,0
159.0,0.025,25.0,159.0,0.0,0.0,2.25,0.0626,326.0,2.94,2.53e-05,83.9,5.82,6.25,83.9,6.0,0.0,5.66,0.0988,324.0,13.9,0.0012,29.5,0.0,0.0,29.5,0.0,0.0,-2.14,53.3,-13.4,-1.7,53.3,-9.54e-07,21.7,1.06,316.0,118.0,0.205,1,0
159.0,-0.025,-18.8,159.0,0.0,0.0,1.79,0.0399,325.0,5.94,-2.08e-05,84.5,5.8,18.8,84.5,6.0,0.0,6.45,0.104,324.0,13.8,0.00126,29.5,0.0,0.0,29.5,0.0,0.0,3.41,53.3,-27.8,3.84,53.3,-9.54e-07,17.7,0.913,321.0,117.0,0.177,1,0
159.0,0.0,-6.25,159.0,0.0,0.0,0.629,0.0365,325.0,7.48,-2.04e-05,85.1,5.68,-68.7,85.1,6.0,0.0,6.03,0.0885,324.0,13.7,0.00101,29.5,0.0,0.0,29.5,0.0,0.0,8.74,53.3,6.38,9.18,53.3,0.0,19.4,0.995,320.0,120.0,0.191,1,0
159.0,-0.075,-6.25,159.0,-0.0249,-5.86,1.12,0.0643,325.0,4.74,3.74e-05,85.5,-0.675,-244.0,85.6,5.5,875.0,1.08,0.0287,324.0,0.299,2.14e-05,29.5,0.0,0.0,29.5,0.0,0.0,13.9,53.4,44.8,14.3,53.3,0.0,19.7,0.99,316.0,118.0,0.191,1,0
159.0,-0.8,37.5,159.0,-0.965,-8.96,-4.52,0.0534,325.0,6.11,5.62e-05,86.1,6.32,68.7,86.2,5.92,-1.43,3.69,0.0944,324.0,14.3,0.00117,29.5,0.0,0.0,29.5,0.0,0.0,19.4,53.4,0.0,19.8,53.3,0.0,19.5,0.834,322.0,118.0,0.161,1,0
159.0,-1.7,25.0,159.0,-1.85,-8.64,-4.92,0.0778,325.0,9.33,0.000246,86.7,5.65,18.8,86.8,5.71,-2.77,8.04,0.147,324.0,15.9,0.0018,29.5,0.0,0.0,29.5,0.0,0.0,24.7,53.3,-9.0,25.2,53.3,9.54e-07,21.4,0.948,321.0,120.0,0.183,1,0
159.0,-2.58,-43.8,159.0,-2.65,-8.15,-5.07,0.101,325.0,9.34,0.000596,87.3,5.15,-50.0,87.3,5.38,-3.99,5.04,0.0835,324.0,12.3,0.00091,29.5,0.0,0.0,29.5,0.0,0.0,29.9,53.4,61.8,30.3,53.3,0.0,17.0,0.904,316.0,119.0,0.171,1,0
159.0,-3.3,-12.5,159.0,-3.46,-7.43,-7.54,0.108,325.0,10.7,0.000754,87.8,4.97,43.8,87.8,4.9,-5.21,5.48,0.109,324.0,12.2,0.00115,29.5,0.0,0.0,29.5,0.0,0.0,35.4,53.5,60.4,35.8,53.3,0.0,14.4,0.744,321.0,118.0,0.14,1,0
